Gene,Alias,Fold Change,Direction,Total FPKM,Q-Value,Description
AT5G46420,,1.70,UP,8.88,0.3575,RimM-like 16S rRNA processing protein
AT3G29030,ATHEXP ALPHA 1.4,2.43,DOWN,15.90,0.1047,expansin A5
AT1G10830,Z-ISO,1.08,UP,8.05,1,15-cis-zeta-carotene isomerase
AT5G01750,,2.14,UP,64.35,0.0009,LURP-one-related 15 protein
AT1G22300,14-3-3EPSILON,1.62,UP,161.86,0.0009,14-3-3-like protein GF14 epsilon
AT1G78300,GRF2,1.50,DOWN,58.70,0.0863,14-3-3-like protein GF14 omega
AT2G42590,GRF9,1.43,DOWN,56.14,0.1147,14-3-3-like protein GF14 mu
AT3G02520,GRF7,2.53,UP,11.98,0.1912,14-3-3-like protein GF14 nu
AT4G09000,GRF1,1.38,DOWN,157.38,0.0454,14-3-3-like protein GF14 chi
AT5G10450,AFT1,2.28,DOWN,148.53,0.0009,14-3-3-like protein GF14 lambda
AT5G38480,GRF3,1.22,DOWN,82.82,0.6095,14-3-3-like protein GF14 psi
AT5G65430,GRF8,1.80,DOWN,70.97,0.0080,14-3-3-like protein GF14 kappa
AT1G71695,,1.04,UP,45.12,1,peroxidase 12
AT1G76680,OPR1,1.55,DOWN,42.33,0.1094,12-oxophytodienoate reductase 1
AT2G06050,OPR3,1.03,UP,13.92,1,12-oxophytodienoate reductase 3
AT2G03890,ATPI4K GAMMA 7,2.17,DOWN,10.37,0.0116,phosphoinositide 4-kinase gamma 7
AT1G49570,,7.57,UP,4.15,0.3396,peroxidase 10
AT1G21710,OGG1,3.45,DOWN,4.71,0.1949,8-oxoguanine-DNA glycosylase 1
AT1G30870,,3.06,DOWN,14.88,0.0805,peroxidase 7
AT1G50430,DWF5,1.19,DOWN,17.08,0.7683,7-dehydrocholesterol reductase
AT2G03510,,2.64,UP,6.96,0.2529,SPFH/Band 7/PHB domain-containing membrane-associated protein
AT4G02970,AT7SL-1,1.27,UP,129.88,0.2249,7SL RNA1
AT1G54060,ASIL1,1.28,UP,11.38,0.7722,6B-interacting protein 1-like 1
AT2G44050,COS1,1.10,DOWN,32.14,1,6;7-dimethyl-8-ribityllumazine synthase
AT4G29220,PFK1,1.36,UP,15.66,0.5526,6-phosphofructokinase 1
AT5G15490,,1.15,UP,10.66,0.9956,UDPglucose 6-dehydrogenase
AT5G24400,EMB2024,1.13,DOWN,14.22,1,6-phosphogluconolactonase
AT1G48860,,1.42,UP,7.57,1,putative 5-enolpyruvylshikimate-3-phosphate synthase
AT1G62180,PRH,1.27,UP,87.80,0.1757,5'-adenylylsulfate reductase 2
AT2G04690,,1.29,UP,18.28,0.8969,Pyridoxamine 5'-phosphate oxidase family protein
AT3G04790,,2.64,DOWN,136.64,0.0009,ribose 5-phosphate isomerase A
AT3G54470,,1.39,DOWN,18.20,0.4018,orotidine 5'-phosphate decarboxylase
AT4G04610,APR1,1.31,UP,59.27,0.2244,5'-adenylylsulfate reductase 1
AT4G21990,PRH26,1.35,UP,61.63,0.1189,5'-adenylylsulfate reductase 3
AT5G17920,ATMETS,1.44,DOWN,228.62,0.0009,5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase
AT5G44520,,1.15,DOWN,11.95,1,ribose 5-phosphate isomerase A
AT1G06570,PDS1,1.01,DOWN,7.46,1,4-hydroxyphenylpyruvate dioxygenase
AT1G07700,,1.35,UP,12.26,0.8378,thioredoxin-like 4
AT1G51680,4CL.1,1.67,UP,18.13,0.1198,4-coumarate--CoA ligase 1
AT2G26930,ATCDPMEK,1.29,DOWN,8.61,0.9730,4-diphosphocytidyl-2-C-methyl-D-erythritol kinase
AT2G40840,DPE2,2.05,UP,8.55,0.0564,4-alpha-glucanotransferase
AT4G34350,ISPH,1.40,UP,53.62,0.1035,4-hydroxy-3-methylbut-2-enyl diphosphate reductase
AT5G16010,,2.77,DOWN,42.63,0.0222,3-oxo-5-alpha-steroid 4-dehydrogenase family protein
AT5G60600,GCPE,1.63,UP,46.55,0.0032,4-hydroxy-3-methylbut-2-enyl diphosphate synthase
AT1G01120,KCS1,2.01,DOWN,15.21,0.0874,3-ketoacyl-CoA synthase 1
AT1G07720,KCS3,1.16,DOWN,12.11,0.9933,3-ketoacyl-CoA synthase 3
AT1G13640,,1.40,DOWN,10.48,0.5064,phosphatidylinositol 3-and 4-kinase-like protein
AT1G14740,,3.48,UP,10.87,0.0315,OBERON 3 protein
AT1G25450,KCS5,2.54,DOWN,17.50,0.0360,3-ketoacyl-CoA synthase 5
AT1G31180,IPMDH1,2.34,UP,10.20,0.2243,3-isopropylmalate dehydrogenase 1
AT1G63000,UER1,1.27,DOWN,39.17,0.5572,3;5-epimerase/4-reductase
AT1G68530,G2,1.84,DOWN,97.54,0.0009,3-ketoacyl-CoA synthase 6
AT1G74960,FAB1,1.14,DOWN,17.64,0.9113,3-oxoacyl
AT1G80380,,1.55,DOWN,43.10,0.0987,D-glycerate 3-kinase
AT2G15090,KCS8,1.04,DOWN,11.22,1,3-ketoacyl-CoA synthase 8
AT2G16280,KCS9,1.54,DOWN,17.66,0.2493,3-ketoacyl-CoA synthase 9
AT2G26250,KCS10,1.54,DOWN,60.16,0.0086,3-ketoacyl-CoA synthase 10
AT2G26640,KCS11,2.44,DOWN,7.34,0.4287,3-ketoacyl-CoA synthase 11
AT2G33150,PED1,1.36,DOWN,58.59,0.0872,3-ketoacyl-CoA thiolase 2
AT3G01850,,1.45,UP,5.80,0.8990,ribulose-phosphate 3-epimerase
AT3G11770,,1.12,DOWN,13.13,1,DnaQ-like 3'-5' exonuclease domain-containing protein
AT4G13430,IIL1,1.47,UP,54.97,0.0341,3-isopropylmalate dehydratase
AT4G14440,ATECI3,1.77,DOWN,42.25,0.0793,3-hydroxyacyl-CoA dehydratase 1
AT5G04530,KCS19,1.27,DOWN,24.26,0.5324,3-ketoacyl-CoA synthase 21
AT5G10480,PEP,1.08,UP,25.29,1,3-hydroxyacyl-CoA dehydratase PASTICCINO 2
AT5G14200,IMD1,1.16,DOWN,21.47,0.9576,3-isopropylmalate dehydrogenase 3
AT5G43760,KCS20,1.63,DOWN,47.15,0.0160,3-ketoacyl-CoA synthase 19
AT5G46290,KASI,1.89,DOWN,59.04,0.0009,3-oxoacyl
AT5G65940,chy1,3.26,UP,9.94,0.1219,3-hydroxyisobutyryl-CoA hydrolase 1
AT5G66120,,1.11,DOWN,20.34,1,putative 3-dehydroquinate synthase
AT1G18500,MAML-4,3.65,UP,11.70,0.0490,2-isopropylmalate synthase
AT1G63970,ISPF,1.48,DOWN,33.33,0.3870,2-C-methyl-D-erythritol 2;4-cyclodiphosphate synthase
AT1G74040,MAML-3,5.04,UP,4.75,0.1607,2-isopropylmalate synthase 2
AT2G25450,,1.46,UP,73.24,0.0255,putative 2-oxoacid dependent dioxygenase
AT3G13450,DIN4,1.05,UP,8.58,1,2-oxoisovalerate dehydrogenase E1 component; beta subunit
AT3G25860,LTA2,3.01,DOWN,32.57,0.0009,2-oxoacid dehydrogenases acyltransferase family protein
AT4G02940,,1.52,UP,13.13,0.3057,oxidoreductase; 2OG-Fe(II) oxygenase family protein
AT5G16970,AT-AER,1.15,DOWN,26.51,0.9028,2-alkenal reductase
AT5G51970,,1.19,DOWN,72.08,0.4924,L-iditol 2-dehydrogenase
AT5G59540,,1.30,UP,29.14,0.5443,oxidoreductase; 2OG-Fe(II) oxygenase family protein
AT1G02730,ATCSLD5,2.07,UP,6.08,0.0933,1;4-beta-D-xylan synthase
AT1G05010,EFE,1.02,UP,121.42,1,1-aminocyclopropane-1-carboxylate oxidase
AT1G12000,,1.52,DOWN,9.32,0.3551,pyrophosphate--fructose-6-phosphate 1-phosphotransferase
AT1G60600,ABC4,1.97,UP,12.01,0.2229,1;4-dihydroxy-2-naphthoate octaprenyltransferase
AT2G36230,APG10,4.67,DOWN,4.32,0.5252,1-(5-phosphoribosyl)-5
AT2G36390,SBE2.1,1.90,UP,12.46,0.1015,1;4-alpha-glucan branching enzyme
AT2G45300,,1.06,UP,8.24,1,3-phosphoshikimate 1-carboxyvinyltransferase
AT3G08710,TRX H9,1.08,DOWN,9.31,1,thioredoxin H9
AT3G17940,,3.49,DOWN,7.02,0.1384,aldose 1-epimerase
AT3G47800,,1.36,UP,16.05,0.6330,aldose 1-epimerase
AT3G62810,,1.58,UP,41.54,0.3752,complex 1-LYR domain-containing protein
AT4G14300,,1.23,DOWN,14.10,0.7496,ribonucleoprotein 1
AT4G14710,ATARD2,58.31,DOWN,11.42,0.2186,1;2-dihydroxy-3-keto-5-methylthiopentene dioxygenase 3
AT4G25900,,2.12,UP,9.72,0.3599,aldose 1-epimerase family protein
AT4G30580,EMB1995,2.15,UP,18.61,0.0972,1-acyl-sn-glycerol-3-phosphate acyltransferase 1
AT4G33670,,1.27,DOWN,18.70,0.7622,D-threo-aldose 1-dehydrogenase
AT5G03650,SBE2.2,2.34,UP,9.29,0.0555,1;4-alpha-glucan branching enzyme
AT5G16760,,1.63,DOWN,13.28,0.4408,inositol-tetrakisphosphate 1-kinase 1
AT5G26751,SK 11,1.19,DOWN,10.46,1,Shaggy-related protein kinase alpha
AT5G43850,ATARD4,1.38,DOWN,37.40,0.5034,1;2-dihydroxy-3-keto-5-methylthiopentene dioxygenase 4
AT5G62790,PDE129,2.29,UP,21.85,0.0187,1-deoxy-D-xylulose 5-phosphate reductoisomerase
AT5G63510,GAMMA CAL1,1.08,DOWN,12.25,1,gamma carbonic anhydrase like 1
AT5G66530,,1.27,DOWN,29.61,0.6501,aldose 1-epimerase family protein
AT3G48680,GAMMA CAL2,1.20,DOWN,16.49,0.9651,gamma carbonic anhydrase-like 2
AT1G62640,KAS III,1.18,UP,15.87,0.9092,3-oxoacyl
AT1G19580,GAMMA CA1,1.26,DOWN,9.80,0.8853,gamma carbonic anhydrase 1
AT1G30120,PDH-E1 BETA,1.20,DOWN,18.74,0.7861,pyruvate dehydrogenase E1 beta
AT1G31160,HINT 2,1.51,DOWN,8.78,0.7806,histidine triad nucleotide-binding 2 protein
AT1G04170,EIF2 GAMMA,1.29,DOWN,16.59,0.5752,translation initiation factor eIF-2 gamma subunit
AT5G16050,GF14 UPSILON,1.30,UP,38.81,0.4649,14-3-3-like protein GF14 upsilon
AT3G26030,ATB' DELTA,1.47,DOWN,15.61,0.3888,protein phosphatase 2 (formerly 2A); regulatory subunit B'
AT1G59900,AT-E1 ALPHA,1.38,UP,31.39,0.3386,pyruvate dehydrogenase complex E1 alpha subunit
AT1G35160,GF14 PHI,1.39,DOWN,41.92,0.3273,14-3-3-like protein GF14 phi
AT5G55160,SUMO 2,1.71,DOWN,43.66,0.2699,small ubiquitin-related modifier 2
AT4G22890,PGR5-LIKE A,1.51,DOWN,45.62,0.2549,PGR5-like protein 1A
AT1G17720,ATB BETA,1.53,UP,9.89,0.2311,Protein phosphatase 2A; regulatory subunit PR55
AT2G32080,PUR ALPHA-1,1.50,DOWN,33.48,0.1920,transcription factor Pur-alpha 1
AT1G03630,POR C,1.57,UP,31.24,0.1453,protochlorophyllide reductase C
AT1G51690,B ALPHA,1.87,UP,10.65,0.1363,protein phosphatase 2 (formerly 2A); regulatory subunit B
AT3G06730,TRX z,3.02,DOWN,21.58,0.1269,thioredoxin-like protein CITRX
AT2G45070,SEC61 BETA,1.59,DOWN,128.84,0.1255,protein transport protein sec61 subunit beta
AT4G12480,pEARLI 1,1.68,UP,49.32,0.1252,bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin-like protein
AT1G62570,FMO GS-OX4,2.31,UP,13.05,0.1162,flavin-containing monooxygenase FMO GS-OX4
AT1G31230,AK-HSDH I,2.69,UP,5.30,0.0867,bifunctional aspartokinase/homoserine dehydrogenase 1
AT1G09970,LRR XI-23,1.51,UP,19.27,0.0693,leucine-rich receptor-like protein kinase
AT1G01020,ARV1,1.49,UP,11.78,0.7010,Arv1-like protein
AT1G01050,AtPPa1,2.63,UP,21.34,0.0684,inorganic pyrophosphatase
AT1G01060,LHY,1.62,UP,6.89,0.3358,protein late elongated hypocotyl
AT1G01080,,1.75,UP,24.74,0.1894,RNA recognition motif-containing protein
AT1G01090,PDH-E1 ALPHA,1.63,DOWN,57.99,0.0063,pyruvate dehydrogenase E1 component subunit alpha
AT1G01100,,1.42,DOWN,304.81,0.0247,60S acidic ribosomal protein P1-1
AT1G01140,CIPK9,3.00,UP,8.23,0.1996,CBL-interacting serine/threonine-protein kinase 9
AT1G01160,GIF2,2.18,UP,11.63,0.2514,GRF1-interacting factor 2
AT1G01170,,3.34,DOWN,60.39,0.0194,uncharacterized protein
AT1G01210,,4.01,DOWN,21.36,0.2734,DNA-directed RNA polymerase III subunit C11
AT1G01240,,1.60,DOWN,6.53,0.6519,uncharacterized protein
AT1G01300,,1.69,DOWN,19.78,0.1426,aspartyl protease-like protein
AT1G01320,,4.25,UP,16.88,0.0009,tetratricopeptide repeat-containing protein
AT1G01430,TBL25,1.90,DOWN,19.62,0.0703,protein trichome birefringence-like 25
AT1G01470,LEA14,1.18,DOWN,37.07,0.9191,putative desiccation-related protein LEA14
AT1G01490,,1.57,UP,24.52,0.2948,heavy-metal-associated domain-containing protein
AT1G01540,,1.05,DOWN,17.78,1,putative serine/threonine-protein kinase
AT1G01550,BPS1,1.59,DOWN,33.90,0.1270,protein BPS1
AT1G01610,ATGPAT4,2.72,DOWN,12.79,0.0259,glycerol-3-phosphate acyltransferase
AT1G01620,PIP1,2.20,DOWN,168.69,0.0009,aquaporin PIP1-3
AT1G01630,,2.93,UP,8.12,0.2142,protein sec fourteen-like protein-20
AT1G01650,SPPL4,1.73,UP,5.82,0.3778,signal peptide peptidase-like 4
AT1G01720,ATAF1,1.88,DOWN,15.19,0.2030,NAC domain-containing protein 2
AT1G01730,,1.67,UP,9.01,0.6330,uncharacterized protein
AT1G01750,ADF11,3.15,DOWN,7.98,0.3485,actin depolymerizing factor 11
AT1G01790,KEA1,5.05,UP,10.58,0.0009,K(+) efflux antiporter 1
AT1G01800,,1.49,UP,19.83,0.4976,Rossmann-fold NAD(P)-binding domain-containing protein
AT1G01820,PEX11C,1.21,UP,23.21,0.9128,peroxisomal membrane protein 11C
AT1G01910,,1.80,DOWN,16.89,0.2534,putative anion-transporting ATPase
AT1G01990,,1.68,UP,10.59,0.5165,uncharacterized protein
AT1G02000,GAE2,1.87,DOWN,5.21,0.3735,UDP-D-glucuronate 4-epimerase 2
AT1G02090,CSN7,1.83,UP,11.43,0.4033,COP9 signalosome complex subunit 7
AT1G02100,,2.15,DOWN,5.41,0.4223,Leucine carboxyl methyltransferase
AT1G02120,VAD1,2.12,UP,23.06,0.0151,GRAM domain family protein
AT1G02130,ATRABD2A,2.93,DOWN,10.78,0.1878,Ras-related protein RABD2A
AT1G02140,MEE63,1.61,DOWN,111.35,0.0422,protein mago nashi
AT1G02160,,1.18,UP,27.02,1,Cox19 family protein (CHCH motif)
AT1G02170,MCP1B,2.11,DOWN,6.33,0.5015,metacaspase 1
AT1G02205,CER1,1.50,UP,4.42,0.5628,CER1 protein
AT1G02280,ATTOC33,1.23,UP,19.67,0.8886,translocase of chloroplast 33
AT1G02305,,1.35,DOWN,24.42,0.4519,putative cathepsin B-like cysteine protease
AT1G02475,,1.28,DOWN,18.28,0.8739,SRPBCC ligand-binding domain-containing protein
AT1G02500,MAT1,2.17,DOWN,68.05,0.0009,S-adenosylmethionine synthetase 1
AT1G02560,NCLPP5,1.18,DOWN,64.17,0.5608,ATP-dependent Clp protease; protease subunit
AT1G02816,,1.80,DOWN,12.90,0.6101,uncharacterized protein
AT1G02820,,2.02,DOWN,10.59,0.4670,late embryogenesis abundant 3-like protein
AT1G02840,SR34,1.69,UP,18.27,0.2174,Pre-mRNA-splicing factor SF2
AT1G02850,BGLU11,3.26,UP,13.47,0.0270,beta glucosidase 11
AT1G02870,,1.37,DOWN,10.54,1,uncharacterized protein
AT1G02890,,2.95,UP,7.99,0.0045,AAA-type ATPase-like protein
AT1G02900,ATRALF1,3.10,DOWN,39.31,0.1717,rapid alkalinization factor 1
AT1G02910,LPA1,2.24,UP,9.15,0.2408,tetratricopeptide repeat (TPR)-containing protein
AT1G02920,GST11,5.88,UP,15.80,0.1577,glutathione S-transferase 11
AT1G02930,ATGSTF6,4.82,UP,25.69,0.0194,glutathione S-transferase 1
AT1G03090,MCCA,3.73,UP,5.09,0.1145,methylcrotonoyl-CoA carboxylase subunit alpha
AT1G03130,PSAD-2,1.70,DOWN,278.69,0.0009,photosystem I reaction center subunit II-2
AT1G03140,,1.68,UP,19.13,0.2142,splicing factor Prp18-like protein
AT1G03210,,7.61,UP,9.51,0.3396,Phenazine biosynthesis PhzC/PhzF protein
AT1G03220,,2.21,DOWN,42.35,0.0017,aspartyl protease-like protein
AT1G03230,,2.07,UP,15.11,0.1768,aspartyl protease-like protein
AT1G03280,,2.27,UP,8.71,0.1925,transcription initiation factor TFIIE alpha subunit
AT1G03330,,2.12,DOWN,20.60,0.3367,small nuclear ribonucleoprotein-like protein
AT1G03350,,1.04,DOWN,8.19,1,BSD domain-containing protein
AT1G03420,Sadhu4-2,1.20,UP,14.09,1,transposable element gene
AT1G03475,LIN2,1.21,DOWN,90.97,0.3387,Coproporphyrinogen III oxidase
AT1G03600,PSB27,1.29,DOWN,216.46,0.1668,photosystem II Psb27 protein
AT1G03610,,1.35,DOWN,13.41,0.6461,uncharacterized protein
AT1G03680,ATHM1,1.45,DOWN,147.00,0.0509,thioredoxin M1
AT1G03850,,2.36,DOWN,16.47,0.2775,monothiol glutaredoxin-S13
AT1G03860,ATPHB2,1.05,DOWN,18.68,1,prohibitin 2
AT1G03870,FLA9,2.24,DOWN,44.17,0.0038,fasciclin-like arabinogalactan protein 9
AT1G03900,ATNAP4,2.35,DOWN,29.43,0.0116,non-intrinsic ABC protein 4
AT1G03910,,5.22,UP,10.35,0.0136,uncharacterized protein
AT1G04040,,1.14,DOWN,20.56,1,HAD superfamily; subfamily IIIB acid phosphatase
AT1G04080,PRP39,1.69,UP,10.32,0.1381,pre-mRNA-processing factor 39
AT1G04140,,1.51,DOWN,9.63,0.2470,transducin/WD-40 repeat-containing protein
AT1G04250,AXR3,2.33,DOWN,38.44,0.0475,auxin-responsive protein IAA17
AT1G04260,MPI7,7.70,DOWN,12.06,0.1270,PRA1 family protein D
AT1G04295,,1.22,UP,41.79,1,other RNA
AT1G04340,,1.80,DOWN,19.95,0.3980,HR-like lesion-inducing protein-like protein
AT1G04350,,3.95,UP,19.13,0.0591,2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase-like protein
AT1G04400,ATCRY2,2.84,UP,19.80,0.0038,cryptochrome 2
AT1G04410,,1.40,DOWN,238.39,0.0009,malate dehydrogenase
AT1G04420,,1.07,DOWN,21.41,1,NAD(P)-linked oxidoreductase-like protein
AT1G04425,,1.41,UP,16.54,1,(AT1G04425) otherRNA
AT1G04430,,1.17,DOWN,12.94,0.8955,putative methyltransferase PMT8
AT1G04440,CKL13,1.94,UP,7.90,0.3161,casein kinase like 13
AT1G04480,,1.22,UP,124.29,0.5267,60S ribosomal protein L23
AT1G04530,TPR4,1.52,UP,25.93,0.3197,tetratricopeptide repeat domain-containing protein
AT1G04550,BDL,1.47,DOWN,19.92,0.5221,auxin-responsive protein IAA12
AT1G04620,,2.46,UP,7.51,0.2697,coenzyme F420 hydrogenase beta subunit
AT1G04640,LIP2,1.49,DOWN,23.60,0.5390,lipoyl(octanoyl) transferase
AT1G04680,,1.16,DOWN,11.03,0.9962,putative pectate lyase 1
AT1G04690,KAB1,1.16,DOWN,23.04,0.8798,potassium channel beta subunit 1
AT1G04750,ATVAMP721,1.06,DOWN,50.14,1,vesicle-associated membrane protein 721
AT1G04770,,1.84,UP,14.87,0.3298,male sterility MS5 family protein
AT1G04800,,1.46,DOWN,236.55,0.0063,glycine-rich protein
AT1G04810,,1.69,UP,10.01,0.1501,26S proteasome regulatory subunit N2
AT1G04820,TUA4,1.93,DOWN,70.30,0.0009,tubulin alpha-2/alpha-4 chain
AT1G04850,,1.75,UP,9.53,0.3565,ubiquitin-associated (UBA)/TS-N domain-containing protein
AT1G04870,PRMT10,2.04,UP,6.11,0.3915,putative protein arginine N-methyltransferase 4.2
