Transcript,Gene,Alias,Fold Change,Direction,Total FPKM,Q-Value,Description
AT1G22780.1,AT1G22780,PFL,1.00,UP,89.69,1,40S ribosomal protein S18
AT1G72370.1,AT1G72370,P40,1.00,UP,32.77,1,40S ribosomal protein Sa-1
AT1G72370.2,AT1G72370,P40,1.00,UP,52.81,1,40S ribosomal protein Sa-1
AT2G37270.1,AT2G37270,RPS5B,1.00,UP,34.35,1,40S ribosomal protein S5-1
AT3G11940.2,AT3G11940,RPS5A,1.00,UP,115.34,1,40S ribosomal protein S5-2
AT3G22300.1,AT3G22300,RPS10,1.00,UP,14.05,1,40S ribosomal protein S10
AT3G46040.1,AT3G46040,RPS15AD,1.00,UP,63.87,1,40S ribosomal protein S15a-4
AT3G48930.1,AT3G48930,EMB1080,1.00,UP,86.91,1,40S ribosomal protein S11-1
AT3G61110.1,AT3G61110,ARS27A,1.00,UP,197.43,1,40S ribosomal protein S27-2
AT4G00100.1,AT4G00100,ATRPS13A,1.00,UP,90.63,1,40S ribosomal protein S13-2
AT4G09800.1,AT4G09800,RPS18C,1.00,UP,77.01,1,40S ribosomal protein S18
AT4G29430.1,AT4G29430,rps15ae,1.00,UP,20.34,1,40S ribosomal protein S15a-5
AT4G31700.1,AT4G31700,RPS6,1.00,UP,92.76,1,40S ribosomal protein S6-1
AT5G10360.1,AT5G10360,RPS6B,1.00,UP,51.44,1,40S ribosomal protein S6-2
AT5G10360.2,AT5G10360,RPS6B,1.00,UP,14.90,1,40S ribosomal protein S6-2
AT5G23740.1,AT5G23740,RPS11-BETA,1.00,UP,48.34,1,40S ribosomal protein S11-3
AT5G64140.1,AT5G64140,RPS28,1.00,UP,109.07,1,40S ribosomal protein S28-2
AT3G32980.1,AT3G32980,,1.00,UP,73.35,1,peroxidase 32
AT3G28200.1,AT3G28200,,1.00,UP,26.48,1,peroxidase 31
AT1G74970.1,AT1G74970,RPS9,1.00,UP,43.57,1,30S ribosomal protein S9
AT1G79850.1,AT1G79850,CS17,1.00,UP,203.55,1,30S ribosomal protein S17
AT2G38140.1,AT2G38140,PSRP4,1.00,UP,181.65,1,30S ribosomal protein S31
AT3G21770.1,AT3G21770,,1.00,UP,12.54,1,peroxidase 30
AT5G24490.1,AT5G24490,,1.00,UP,101.40,1,putative 30S ribosomal protein
AT3G01190.1,AT3G01190,,1.00,UP,13.60,1,peroxidase 27
AT1G09100.1,AT1G09100,RPT5B,1.00,UP,8.51,1,26S proteasome regulatory subunit T5
AT1G20200.1,AT1G20200,EMB2719,1.00,UP,7.92,1,26S proteasome regulatory subunit N3
AT1G29150.1,AT1G29150,ATS9,1.00,UP,22.84,1,26S proteasome regulatory subunit N6
AT1G64520.1,AT1G64520,RPN12a,1.00,UP,24.41,1,26S proteasome non-ATPase regulatory subunit RPN12A
AT1G64750.1,AT1G64750,DSS1(I),1.00,UP,28.70,1,26 proteasome complex subunit DSS1
AT1G64750.2,AT1G64750,DSS1(I),1.00,UP,28.64,1,26 proteasome complex subunit DSS1
AT2G20580.1,AT2G20580,RPN1A,1.00,UP,15.66,1,26S proteasome regulatory subunit N1
AT4G29040.1,AT4G29040,RPT2a,1.00,UP,35.59,1,26S proteasome regulatory subunit 4-A
AT4G38630.1,AT4G38630,MCB1,1.00,UP,23.15,1,26S proteasome non-ATPase regulatory subunit 4
AT5G05780.1,AT5G05780,RPN8A,1.00,UP,18.50,1,26S proteasome regulatory subunit N8
AT5G45010.1,AT5G45010,ATDSS1(V),1.00,UP,52.53,1,26 proteasome complex subunit DSS1
AT3G10720.2,AT3G10720,,1.00,UP,7.71,1,pectinesterase 25
AT1G20330.1,AT1G20330,CVP1,1.00,UP,21.20,1,24-methylenesterol C-methyltransferase 2
AT2G38380.1,AT2G38380,,1.00,UP,9.02,1,peroxidase 22
AT2G39700.1,AT2G39700,ATHEXP ALPHA 1.6,1.00,UP,17.67,1,expansin A4
AT2G18980.1,AT2G18980,,1.00,UP,9.59,1,peroxidase 16
AT5G46420.1,AT5G46420,,1.00,UP,11.17,1,RimM-like 16S rRNA processing protein
AT1G10830.1,AT1G10830,Z-ISO,1.00,UP,8.38,1,15-cis-zeta-carotene isomerase
AT5G01750.2,AT5G01750,,1.00,UP,87.67,1,LURP-one-related 15 protein
AT1G22300.1,AT1G22300,14-3-3EPSILON,1.00,UP,37.49,1,14-3-3-like protein GF14 epsilon
AT1G22300.2,AT1G22300,14-3-3EPSILON,1.00,UP,162.76,1,14-3-3-like protein GF14 epsilon
AT1G78300.1,AT1G78300,GRF2,1.00,UP,46.95,1,14-3-3-like protein GF14 omega
AT2G42590.1,AT2G42590,GRF9,1.00,UP,33.31,1,14-3-3-like protein GF14 mu
AT2G42590.2,AT2G42590,GRF9,1.00,UP,12.97,1,14-3-3-like protein GF14 mu
AT3G02520.1,AT3G02520,GRF7,1.00,UP,17.16,1,14-3-3-like protein GF14 nu
AT4G09000.1,AT4G09000,GRF1,1.00,UP,132.20,1,14-3-3-like protein GF14 chi
AT5G10450.1,AT5G10450,AFT1,1.00,UP,29.21,1,14-3-3-like protein GF14 lambda
AT5G10450.2,AT5G10450,AFT1,1.00,UP,25.62,1,14-3-3-like protein GF14 lambda
AT5G10450.3,AT5G10450,AFT1,1.00,UP,14.64,1,14-3-3-like protein GF14 lambda
AT5G10450.4,AT5G10450,AFT1,1.00,UP,21.18,1,14-3-3-like protein GF14 lambda
AT5G38480.1,AT5G38480,GRF3,1.00,UP,74.62,1,14-3-3-like protein GF14 psi
AT5G65430.2,AT5G65430,GRF8,1.00,UP,50.63,1,14-3-3-like protein GF14 kappa
AT1G71695.1,AT1G71695,,1.00,UP,45.91,1,peroxidase 12
AT1G76680.1,AT1G76680,OPR1,1.00,UP,33.17,1,12-oxophytodienoate reductase 1
AT2G06050.1,AT2G06050,OPR3,1.00,UP,9.04,1,12-oxophytodienoate reductase 3
AT1G49570.1,AT1G49570,,1.00,UP,7.33,1,peroxidase 10
AT3G29030.1,AT3G29030,ATHEXP ALPHA 1.4,1.00,UP,9.26,1,expansin A5
AT1G30870.1,AT1G30870,,1.00,UP,7.33,1,peroxidase 7
AT1G50430.2,AT1G50430,DWF5,1.00,UP,15.07,1,7-dehydrocholesterol reductase
AT2G03510.1,AT2G03510,,1.00,UP,10.10,1,SPFH/Band 7/PHB domain-containing membrane-associated protein
AT4G02970.1,AT4G02970,AT7SL-1,1.00,UP,145.35,1,7SL RNA1
AT2G03890.1,AT2G03890,ATPI4K GAMMA 7,1.00,UP,6.55,1,phosphoinositide 4-kinase gamma 7
AT1G54060.1,AT1G54060,ASIL1,1.00,UP,12.76,1,6B-interacting protein 1-like 1
AT2G44050.1,AT2G44050,COS1,1.00,UP,30.61,1,6;7-dimethyl-8-ribityllumazine synthase
AT4G29220.1,AT4G29220,PFK1,1.00,UP,18.06,1,6-phosphofructokinase 1
AT5G15490.1,AT5G15490,,1.00,UP,11.40,1,UDPglucose 6-dehydrogenase
AT5G24400.1,AT5G24400,EMB2024,1.00,UP,13.38,1,6-phosphogluconolactonase
AT1G48860.1,AT1G48860,,1.00,UP,8.89,1,putative 5-enolpyruvylshikimate-3-phosphate synthase
AT1G62180.1,AT1G62180,PRH,1.00,UP,21.44,1,5'-adenylylsulfate reductase 2
AT1G62180.2,AT1G62180,PRH,1.00,UP,76.70,1,5'-adenylylsulfate reductase 2
AT2G04690.1,AT2G04690,,1.00,UP,20.57,1,Pyridoxamine 5'-phosphate oxidase family protein
AT3G04790.1,AT3G04790,,1.00,UP,75.15,1,ribose 5-phosphate isomerase A
AT3G54470.1,AT3G54470,,1.00,UP,15.26,1,orotidine 5'-phosphate decarboxylase
AT4G04610.1,AT4G04610,APR1,1.00,UP,67.26,1,5'-adenylylsulfate reductase 1
AT4G21990.1,AT4G21990,PRH26,1.00,UP,70.77,1,5'-adenylylsulfate reductase 3
AT5G17920.1,AT5G17920,ATMETS,1.00,UP,187.47,1,5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase
AT5G44520.1,AT5G44520,,1.00,UP,11.14,1,ribose 5-phosphate isomerase A
AT1G07700.1,AT1G07700,,1.00,UP,14.08,1,thioredoxin-like 4
AT1G51680.1,AT1G51680,4CL.1,1.00,UP,22.24,1,4-coumarate--CoA ligase 1
AT2G26930.1,AT2G26930,ATCDPMEK,1.00,UP,7.53,1,4-diphosphocytidyl-2-C-methyl-D-erythritol kinase
AT2G40840.1,AT2G40840,DPE2,1.00,UP,11.50,1,4-alpha-glucanotransferase
AT4G34350.1,AT4G34350,ISPH,1.00,UP,62.47,1,4-hydroxy-3-methylbut-2-enyl diphosphate reductase
AT5G16010.1,AT5G16010,,1.00,UP,22.59,1,3-oxo-5-alpha-steroid 4-dehydrogenase family protein
AT5G60600.1,AT5G60600,GCPE,1.00,UP,50.64,1,4-hydroxy-3-methylbut-2-enyl diphosphate synthase
AT1G01120.1,AT1G01120,KCS1,1.00,UP,10.11,1,3-ketoacyl-CoA synthase 1
AT1G07720.1,AT1G07720,KCS3,1.00,UP,11.22,1,3-ketoacyl-CoA synthase 3
AT1G14740.1,AT1G14740,,1.00,UP,16.88,1,OBERON 3 protein
AT1G25450.1,AT1G25450,KCS5,1.00,UP,9.88,1,3-ketoacyl-CoA synthase 5
AT1G31180.1,AT1G31180,IPMDH1,1.00,UP,14.28,1,3-isopropylmalate dehydrogenase 1
AT1G63000.1,AT1G63000,UER1,1.00,UP,34.55,1,3;5-epimerase/4-reductase
AT1G68530.1,AT1G68530,G2,1.00,UP,68.72,1,3-ketoacyl-CoA synthase 6
AT1G74960.2,AT1G74960,FAB1,1.00,UP,10.72,1,3-oxoacyl
AT1G80380.2,AT1G80380,,1.00,UP,13.08,1,D-glycerate 3-kinase
AT1G80380.4,AT1G80380,,1.00,UP,13.83,1,D-glycerate 3-kinase
AT2G15090.1,AT2G15090,KCS8,1.00,UP,10.99,1,3-ketoacyl-CoA synthase 8
AT2G16280.1,AT2G16280,KCS9,1.00,UP,13.89,1,3-ketoacyl-CoA synthase 9
AT2G26250.1,AT2G26250,KCS10,1.00,UP,47.31,1,3-ketoacyl-CoA synthase 10
AT2G33150.1,AT2G33150,PED1,1.00,UP,49.56,1,3-ketoacyl-CoA thiolase 2
AT3G01850.2,AT3G01850,,1.00,UP,6.86,1,ribulose-phosphate 3-epimerase
AT3G11770.1,AT3G11770,,1.00,UP,12.40,1,DnaQ-like 3'-5' exonuclease domain-containing protein
AT4G13430.1,AT4G13430,IIL1,1.00,UP,65.44,1,3-isopropylmalate dehydratase
AT4G14440.1,AT4G14440,ATECI3,1.00,UP,30.52,1,3-hydroxyacyl-CoA dehydratase 1
AT5G04530.1,AT5G04530,KCS19,1.00,UP,21.33,1,3-ketoacyl-CoA synthase 21
AT5G10480.1,AT5G10480,PEP,1.00,UP,26.22,1,3-hydroxyacyl-CoA dehydratase PASTICCINO 2
AT5G14200.3,AT5G14200,IMD1,1.00,UP,19.84,1,3-isopropylmalate dehydrogenase 3
AT5G43760.1,AT5G43760,KCS20,1.00,UP,35.90,1,3-ketoacyl-CoA synthase 19
AT5G46290.1,AT5G46290,KASI,1.00,UP,23.61,1,3-oxoacyl
AT5G46290.2,AT5G46290,KASI,1.00,UP,17.17,1,3-oxoacyl
AT5G65940.1,AT5G65940,chy1,1.00,UP,10.58,1,3-hydroxyisobutyryl-CoA hydrolase 1
AT5G66120.2,AT5G66120,,1.00,UP,16.75,1,putative 3-dehydroquinate synthase
AT1G18500.1,AT1G18500,MAML-4,1.00,UP,18.36,1,2-isopropylmalate synthase
AT1G63970.1,AT1G63970,ISPF,1.00,UP,26.91,1,2-C-methyl-D-erythritol 2;4-cyclodiphosphate synthase
AT1G74040.1,AT1G74040,MAML-3,1.00,UP,7.93,1,2-isopropylmalate synthase 2
AT2G25450.1,AT2G25450,,1.00,UP,86.92,1,putative 2-oxoacid dependent dioxygenase
AT3G13450.1,AT3G13450,DIN4,1.00,UP,8.79,1,2-oxoisovalerate dehydrogenase E1 component; beta subunit
AT3G25860.1,AT3G25860,LTA2,1.00,UP,16.24,1,2-oxoacid dehydrogenases acyltransferase family protein
AT4G02940.1,AT4G02940,,1.00,UP,15.82,1,oxidoreductase; 2OG-Fe(II) oxygenase family protein
AT5G16970.1,AT5G16970,AT-AER,1.00,UP,24.62,1,2-alkenal reductase
AT5G51970.1,AT5G51970,,1.00,UP,9.51,1,L-iditol 2-dehydrogenase
AT5G51970.2,AT5G51970,,1.00,UP,56.44,1,L-iditol 2-dehydrogenase
AT5G59540.1,AT5G59540,,1.00,UP,32.98,1,oxidoreductase; 2OG-Fe(II) oxygenase family protein
AT1G01090.1,AT1G01090,PDH-E1 ALPHA,1.00,UP,44.10,1,pyruvate dehydrogenase E1 component subunit alpha
AT1G02730.1,AT1G02730,ATCSLD5,1.00,UP,8.20,1,1;4-beta-D-xylan synthase
AT1G03630.2,AT1G03630,POR C,1.00,UP,38.13,1,protochlorophyllide reductase C
AT1G04170.1,AT1G04170,EIF2 GAMMA,1.00,UP,14.46,1,translation initiation factor eIF-2 gamma subunit
AT1G05010.1,AT1G05010,EFE,1.00,UP,122.76,1,1-aminocyclopropane-1-carboxylate oxidase
AT1G09970.1,AT1G09970,LRR XI-23,1.00,UP,23.20,1,leucine-rich receptor-like protein kinase
AT1G12000.1,AT1G12000,,1.00,UP,7.40,1,pyrophosphate--fructose-6-phosphate 1-phosphotransferase
AT1G17720.2,AT1G17720,ATB BETA,1.00,UP,11.96,1,Protein phosphatase 2A; regulatory subunit PR55
AT1G19580.1,AT1G19580,GAMMA CA1,1.00,UP,8.65,1,gamma carbonic anhydrase 1
AT1G30120.1,AT1G30120,PDH-E1 BETA,1.00,UP,17.04,1,pyruvate dehydrogenase E1 beta
AT1G31230.1,AT1G31230,AK-HSDH I,1.00,UP,7.72,1,bifunctional aspartokinase/homoserine dehydrogenase 1
AT1G35160.1,AT1G35160,GF14 PHI,1.00,UP,25.82,1,14-3-3-like protein GF14 phi
AT1G59900.1,AT1G59900,AT-E1 ALPHA,1.00,UP,36.41,1,pyruvate dehydrogenase complex E1 alpha subunit
AT1G60600.1,AT1G60600,ABC4,1.00,UP,15.62,1,1;4-dihydroxy-2-naphthoate octaprenyltransferase
AT1G60950.1,AT1G60950,FED A,1.00,UP,468.44,1,ferredoxin-2
AT1G62570.1,AT1G62570,FMO GS-OX4,1.00,UP,18.21,1,flavin-containing monooxygenase FMO GS-OX4
AT1G62640.2,AT1G62640,KAS III,1.00,UP,11.24,1,3-oxoacyl
AT2G32080.2,AT2G32080,PUR ALPHA-1,1.00,UP,25.42,1,transcription factor Pur-alpha 1
AT2G36390.1,AT2G36390,SBE2.1,1.00,UP,16.32,1,1;4-alpha-glucan branching enzyme
AT2G45070.1,AT2G45070,SEC61 BETA,1.00,UP,83.73,1,protein transport protein sec61 subunit beta
AT2G45070.4,AT2G45070,SEC61 BETA,1.00,UP,15.74,1,protein transport protein sec61 subunit beta
AT3G08710.2,AT3G08710,TRX H9,1.00,UP,8.96,1,thioredoxin H9
AT3G26030.1,AT3G26030,ATB' DELTA,1.00,UP,12.61,1,protein phosphatase 2 (formerly 2A); regulatory subunit B'
AT3G26060.1,AT3G26060,ATPRX Q,1.00,UP,47.42,1,peroxiredoxin Q
AT3G26060.2,AT3G26060,ATPRX Q,1.00,UP,47.91,1,peroxiredoxin Q
AT3G47800.1,AT3G47800,,1.00,UP,18.48,1,aldose 1-epimerase
AT3G48680.1,AT3G48680,GAMMA CAL2,1.00,UP,15.01,1,gamma carbonic anhydrase-like 2
AT3G62810.1,AT3G62810,,1.00,UP,50.88,1,complex 1-LYR domain-containing protein
AT4G12480.1,AT4G12480,pEARLI 1,1.00,UP,61.82,1,bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin-like protein
AT4G14300.1,AT4G14300,,1.00,UP,12.66,1,ribonucleoprotein 1
AT4G22890.2,AT4G22890,PGR5-LIKE A,1.00,UP,23.86,1,PGR5-like protein 1A
AT4G22890.5,AT4G22890,PGR5-LIKE A,1.00,UP,8.16,1,PGR5-like protein 1A
AT4G25900.1,AT4G25900,,1.00,UP,13.21,1,aldose 1-epimerase family protein
AT4G30580.1,AT4G30580,EMB1995,1.00,UP,25.40,1,1-acyl-sn-glycerol-3-phosphate acyltransferase 1
AT4G33670.1,AT4G33670,,1.00,UP,16.46,1,D-threo-aldose 1-dehydrogenase
AT5G03650.1,AT5G03650,SBE2.2,1.00,UP,13.02,1,1;4-alpha-glucan branching enzyme
AT5G16050.1,AT5G16050,GF14 UPSILON,1.00,UP,43.92,1,14-3-3-like protein GF14 upsilon
AT5G26751.1,AT5G26751,SK 11,1.00,UP,9.56,1,Shaggy-related protein kinase alpha
AT5G43850.1,AT5G43850,ATARD4,1.00,UP,31.48,1,1;2-dihydroxy-3-keto-5-methylthiopentene dioxygenase 4
AT5G55160.1,AT5G55160,SUMO 2,1.00,UP,28.02,1,small ubiquitin-related modifier 2
AT5G62790.1,AT5G62790,PDE129,1.00,UP,30.39,1,1-deoxy-D-xylulose 5-phosphate reductoisomerase
AT5G63510.1,AT5G63510,GAMMA CAL1,1.00,UP,11.80,1,gamma carbonic anhydrase like 1
AT5G66530.1,AT5G66530,,1.00,UP,25.96,1,aldose 1-epimerase family protein
CUFF.877.5,CUFF,PGR5-LIKE A,1.00,UP,17.50,1,
AT1G01020.2,AT1G01020,ARV1,1.00,UP,14.10,1,Arv1-like protein
AT1G01050.1,AT1G01050,AtPPa1,1.00,UP,30.91,1,inorganic pyrophosphatase
AT1G01080.1,AT1G01080,,1.00,UP,30.24,1,RNA recognition motif-containing protein
AT1G01100.2,AT1G01100,,1.00,UP,13.30,1,60S acidic ribosomal protein P1-1
AT1G01100.3,AT1G01100,,1.00,UP,208.54,1,60S acidic ribosomal protein P1-1
AT1G01100.4,AT1G01100,,1.00,UP,30.24,1,60S acidic ribosomal protein P1-1
AT1G01160.1,AT1G01160,GIF2,1.00,UP,15.94,1,GRF1-interacting factor 2
AT1G01170.2,AT1G01170,,1.00,UP,27.51,1,uncharacterized protein
AT1G01300.1,AT1G01300,,1.00,UP,14.68,1,aspartyl protease-like protein
AT1G01320.1,AT1G01320,,1.00,UP,27.32,1,tetratricopeptide repeat-containing protein
AT1G01430.1,AT1G01430,TBL25,1.00,UP,13.52,1,protein trichome birefringence-like 25
AT1G01470.1,AT1G01470,LEA14,1.00,UP,34.01,1,putative desiccation-related protein LEA14
AT1G01490.2,AT1G01490,,1.00,UP,29.99,1,heavy-metal-associated domain-containing protein
AT1G01540.2,AT1G01540,,1.00,UP,17.34,1,putative serine/threonine-protein kinase
AT1G01550.1,AT1G01550,BPS1,1.00,UP,26.21,1,protein BPS1
AT1G01610.1,AT1G01610,ATGPAT4,1.00,UP,6.88,1,glycerol-3-phosphate acyltransferase
AT1G01620.1,AT1G01620,PIP1,1.00,UP,19.10,1,aquaporin PIP1-3
AT1G01620.2,AT1G01620,PIP1,1.00,UP,86.48,1,aquaporin PIP1-3
AT1G01630.1,AT1G01630,,1.00,UP,12.11,1,protein sec fourteen-like protein-20
AT1G01650.1,AT1G01650,SPPL4,1.00,UP,7.35,1,signal peptide peptidase-like 4
AT1G01720.1,AT1G01720,ATAF1,1.00,UP,10.54,1,NAC domain-containing protein 2
AT1G01730.1,AT1G01730,,1.00,UP,11.27,1,uncharacterized protein
AT1G01790.1,AT1G01790,KEA1,1.00,UP,17.67,1,K(+) efflux antiporter 1
AT1G01800.1,AT1G01800,,1.00,UP,22.84,1,Rossmann-fold NAD(P)-binding domain-containing protein
AT1G01820.1,AT1G01820,PEX11C,1.00,UP,25.38,1,peroxisomal membrane protein 11C
AT1G01990.1,AT1G01990,,1.00,UP,13.28,1,uncharacterized protein
AT1G02120.1,AT1G02120,VAD1,1.00,UP,31.34,1,GRAM domain family protein
AT1G02140.1,AT1G02140,MEE63,1.00,UP,85.48,1,protein mago nashi
AT1G02160.1,AT1G02160,,1.00,UP,29.29,1,Cox19 family protein (CHCH motif)
AT1G02205.3,AT1G02205,CER1,1.00,UP,5.31,1,CER1 protein
AT1G02280.2,AT1G02280,ATTOC33,1.00,UP,17.30,1,translocase of chloroplast 33
AT1G02305.1,AT1G02305,,1.00,UP,20.77,1,putative cathepsin B-like cysteine protease
AT1G02475.1,AT1G02475,,1.00,UP,16.01,1,SRPBCC ligand-binding domain-containing protein
AT1G02500.1,AT1G02500,MAT1,1.00,UP,21.41,1,S-adenosylmethionine synthetase 1
AT1G02500.2,AT1G02500,MAT1,1.00,UP,21.46,1,S-adenosylmethionine synthetase 1
AT1G02560.1,AT1G02560,NCLPP5,1.00,UP,58.94,1,ATP-dependent Clp protease; protease subunit
AT1G02840.3,AT1G02840,SR34,1.00,UP,10.89,1,Pre-mRNA-splicing factor SF2
AT1G02850.1,AT1G02850,BGLU11,1.00,UP,20.36,1,beta glucosidase 11
AT1G02890.1,AT1G02890,,1.00,UP,11.93,1,AAA-type ATPase-like protein
AT1G02900.1,AT1G02900,ATRALF1,1.00,UP,19.19,1,rapid alkalinization factor 1
AT1G02910.1,AT1G02910,LPA1,1.00,UP,12.66,1,tetratricopeptide repeat (TPR)-containing protein
AT1G02920.1,AT1G02920,GST11,1.00,UP,27.00,1,glutathione S-transferase 11
AT1G02930.2,AT1G02930,ATGSTF6,1.00,UP,33.09,1,glutathione S-transferase 1
AT1G03090.1,AT1G03090,MCCA,1.00,UP,8.03,1,methylcrotonoyl-CoA carboxylase subunit alpha
AT1G03130.1,AT1G03130,PSAD-2,1.00,UP,206.41,1,photosystem I reaction center subunit II-2
AT1G03140.1,AT1G03140,,1.00,UP,24.01,1,splicing factor Prp18-like protein
AT1G03210.1,AT1G03210,,1.00,UP,16.80,1,Phenazine biosynthesis PhzC/PhzF protein
AT1G03220.1,AT1G03220,,1.00,UP,26.38,1,aspartyl protease-like protein
AT1G03230.1,AT1G03230,,1.00,UP,20.39,1,aspartyl protease-like protein
AT1G03280.1,AT1G03280,,1.00,UP,12.10,1,transcription initiation factor TFIIE alpha subunit
AT1G03420.1,AT1G03420,Sadhu4-2,1.00,UP,15.36,1,transposable element gene
AT1G03475.1,AT1G03475,LIN2,1.00,UP,82.31,1,Coproporphyrinogen III oxidase
AT1G03600.1,AT1G03600,PSB27,1.00,UP,189.03,1,photosystem II Psb27 protein
AT1G03610.1,AT1G03610,,1.00,UP,11.42,1,uncharacterized protein
AT1G03680.1,AT1G03680,ATHM1,1.00,UP,119.94,1,thioredoxin M1
AT1G03850.2,AT1G03850,,1.00,UP,9.79,1,monothiol glutaredoxin-S13
AT1G03860.1,AT1G03860,ATPHB2,1.00,UP,18.17,1,prohibitin 2
AT1G03870.1,AT1G03870,FLA9,1.00,UP,27.23,1,fasciclin-like arabinogalactan protein 9
